0,1,2,3,4,5,6,7,8,9,10,11,12,13
[9],[9],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0]
[4],[4],[4],[4],[4],[4],[4],[4],[4],[4],[4],[4],[4],[]
[0],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[]
[2],[2],[2],[2],[2],[2],[2],[2],[2],[2],[2],[2],[2],[]
[3],[3],[3],[3],[3],[3],[3],[3],[3],[3],[3],[3],[3],[]
[3],[3],[3],[3],[3],[3],[3],[3],[3],[3],[3],[3],[3],[]
[6],[6],[6],[6],[6],[6],[6],[6],[6],[6],[6],[6],[6],[]
[9],[9],[9],[9],[9],[9],[9],[9],[9],[9],[9],[0],[9],[9]
[4],[4],[4],[4],[4],[4],[4],[4],[4],[4],[4],[4],[4],[]
[6],[0],[6],[6],[6],[6],[6],[6],[6],[6],[6],[6],[6],[6]
[9],[9],[9],[9],[9],[9],[9],[9],[9],[0],[9],[9],[9],[9]
[1],[6],[7],[7],[7],[7],[7],[7],[7],[7],[7],[7],[7],[]
[5],[5],[5],[5],[5],[5],[5],[5],[5],[5],[5],[5],[5],[]
[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[]
[7],[7],[9],[9],[9],[9],[9],[9],[9],[9],[9],[9],[9],[]
[8],[8],[8],[8],[8],[8],[8],[8],[8],[8],[8],[8],[8],[]
[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[]
[8],[8],[8],[8],[8],[8],[8],[8],[8],[8],[8],[8],[8],[]
[3],[3],[3],[3],[3],[3],[3],[3],[3],[3],[3],[3],[3],[]
[4],[4],[4],[4],[4],[4],[4],[4],[4],[4],[4],[4],[4],[]
[0],[0],[0],[0],[0],[0],[0],[0],[0],[1],[0],[1],[0],[]
[9],[9],[9],[9],[9],[9],[9],[9],[9],[9],[9],[9],[9],[]
[5],[5],[5],[5],[5],[5],[5],[5],[5],[5],[5],[5],[5],[]
[],[],[],[],[],[],[],[],[],[],[],[],[],[]
[2],[2],[2],[2],[2],[2],[2],[2],[2],[2],[2],[2],[2],[]
[],[],[],[],[],[],[],[],[],[9],[],[9],[],[]
[1],[1],[1],[1],[1],[1],[1],[1],[1],[8],[1],[8],[1],[]
[6],[6],[6],[6],[6],[6],[6],[6],[6],[6],[6],[6],[6],[]
[2],[2],[2],[2],[2],[2],[2],[2],[2],[2],[2],[2],[2],[]
[5],[5],[5],[5],[5],[5],[5],[5],[5],[5],[5],[5],[5],[]
