num_doctors,10
num_rooms,5
roomID important  priority  Demand-1  Demand-2
    0         0         3         0         0
    1         0         2         1         2
    2         0         1         2         2
    3         1         4         0         3
    4         1         2         0         3
doctorID             Skill-1             Skill-2
     0           [1, 0, 3]           [2, 1, 3]
     1                  []           [2, 1, 3]
     2                 [0]                 [3]
     3              [0, 2]                 [0]
     4                  []              [0, 1]
     5           [1, 3, 2]                  []
     6                 [2]           [1, 3, 2]
     7                  []                  []
     8                  []                 [3]
     9                  []                 [3]
